Labels,Affinity (kcal/mol)
A01B01,-10.2
A01B02,-11.1
A01B03,-11
A01B04,-11.1
A01B05,-10.4
A01B06,-10
A01B07,-10.6
A01B08,-11.3
A01B09,-9.3
A01B10,-11.2
A01B11,-10.7
A01B12,-10.9
A01B13,-9.8
A01B14,-10.3
A01B15,-10.6
A01B16,-9
A01B17,-10.7
A01B18,-11.2
A01B19,-11.1
A01B20,-12
A01B21,-10.1
A01B22,-9.6
A01B23,-11.5
A01B24,-9.8
A01B25,-10.8
A01B26,-11.1
A01B27,-11.1
A01B28,-10.4
A01B29,-10.7
A01B30,-11.4
A01B31,-10.5
A01B32,-9.9
A01B33,-10.7
A01B34,-9.2
A01B35,-9.9
A01B36,-8.9
A01B37,-9.1
A01B38,-9.7
A01B39,-9.1
A01B40,-10.7
A01B41,-10.9
A01B42,-11.6
A01B43,-10.8
A01B44,-10.6
A01B45,-11.1
A01B46,-11
A01B47,-10.8
A01B48,-11.4
A01B49,-9.2
A01B50,-9.6
A02B01,-9.5
A02B02,-9.9
A02B03,-9
A02B04,-9.8
A02B05,-9.7
A02B06,-9.3
A02B07,-9.6
A02B08,-10.4
A02B09,-9
A02B10,-10.1
A02B11,-10
A02B12,-9.5
A02B13,-9.4
A02B14,-9.6
A02B15,-9.7
A02B16,-7.3
A02B17,-9.7
A02B18,-9.9
A02B19,-10
A02B20,-10.9
A02B21,-8.8
A02B22,-7.3
A02B23,-10.4
A02B24,-9.2
A02B25,-10.2
A02B26,-8.3
A02B27,-10.2
A02B28,-9.4
A02B29,-10
A02B30,-10.4
A02B31,-9.6
A02B32,-9.1
A02B33,-9.9
A02B34,-9
A02B35,-9.5
A02B36,-7
A02B37,-7.1
A02B38,-10.2
A02B39,-7.6
A02B40,-9.5
A02B41,-9.7
A02B42,-9.9
A02B43,-10.1
A02B44,-9.7
A02B45,-10.1
A02B46,-9.9
A02B47,-10
A02B48,-10.2
A02B49,-9.3
A02B50,-8.5
A03B01,-10.6
A03B02,-10.7
A03B03,-11.1
A03B04,-11
A03B05,-10.4
A03B06,-9.6
A03B07,-10.6
A03B08,-11.5
A03B09,-9.5
A03B10,-11
A03B11,-10.6
A03B12,-10.6
A03B13,-9.1
A03B14,-10
A03B15,-10.7
A03B16,-9.1
A03B17,-10.3
A03B18,-11.1
A03B19,-10.9
A03B20,-11.4
A03B21,-9.3
A03B22,-9.2
A03B23,-11.3
A03B24,-9.3
A03B25,-10.4
A03B26,-10.5
A03B27,-10.9
A03B28,-10.1
A03B29,-10.3
A03B30,-11.2
A03B31,-9.8
A03B32,-9.5
A03B33,-10.7
A03B34,-9.2
A03B35,-9.5
A03B36,-8.7
A03B37,-9.1
A03B38,-11
A03B39,-9.2
A03B40,-10.3
A03B41,-9.6
A03B42,-11.6
A03B43,-10.6
A03B44,-10.3
A03B45,-10.8
A03B46,-10.3
A03B47,-10.9
A03B48,-11.2
A03B49,-9.7
A03B50,-9.6
A04B01,-9.9
A04B02,-10.3
A04B03,-10.4
A04B04,-10.4
A04B05,-10.4
A04B06,-8.4
A04B07,-10
A04B08,-10.8
A04B09,-7.7
A04B10,-10.5
A04B11,-9.3
A04B12,-10.1
A04B13,-7.8
A04B14,-9.8
A04B15,-9.9
A04B16,-9
A04B17,-9.8
A04B18,-10.4
A04B19,-10.2
A04B20,-10.8
A04B21,-9.7
A04B22,-8.7
A04B23,-10.6
A04B24,-9.2
A04B25,-10.7
A04B26,-10
A04B27,-10.3
A04B28,-9.4
A04B29,-10.5
A04B30,-10.6
A04B31,-9.8
A04B32,-8.3
A04B33,-10.2
A04B34,-9.2
A04B35,-10.2
A04B36,-7.7
A04B37,-8.4
A04B38,-10.2
A04B39,-7.8
A04B40,-9.8
A04B41,-10
A04B42,-11.2
A04B43,-10.2
A04B44,-10.1
A04B45,-10.5
A04B46,-10.1
A04B47,-10.3
A04B48,-10.7
A04B49,-7.8
A04B50,-8
A05B01,-9.4
A05B02,-9.9
A05B03,-9.7
A05B04,-9.7
A05B05,-8.3
A05B06,-8.8
A05B07,-9.4
A05B08,-10.4
A05B09,-8.6
A05B10,-9.9
A05B11,-9.8
A05B12,-9.6
A05B13,-8.5
A05B14,-9.2
A05B15,-9.4
A05B16,-8.4
A05B17,-9.5
A05B18,-9.9
A05B19,-9.8
A05B20,-10.5
A05B21,-8.9
A05B22,-8.5
A05B23,-10.2
A05B24,-8.1
A05B25,-10.1
A05B26,-9.9
A05B27,-9.7
A05B28,-9.1
